date,value,ma_short,ma_long
2016-03-26,,170.73333333333335,176.67285714285714
2016-03-27,,227.36,176.67285714285714
2016-03-28,57.77,141.99000000000004,164.85857142857142
2016-03-29,233.67,145.72000000000003,165.69714285714286
2016-03-30,24.66,105.36666666666669,163.39642857142857
2016-03-31,233.86,137.49,164.33857142857144
2016-04-01,232.82,156.556,164.93785714285715
2016-04-02,,181.25250000000003,164.93785714285715
2016-04-03,,163.78000000000003,164.93785714285715
2016-04-04,58.59,175.09,165.07
2016-04-05,57.08,116.16333333333334,153.3385714285714
2016-04-06,56.89,57.52000000000002,153.30285714285714
2016-04-07,56.8,57.34000000000002,141.19
2016-04-08,231.43,92.15800000000002,141.57285714285715
2016-04-09,,100.55000000000001,141.57285714285715
2016-04-10,,115.04000000000002,141.57285714285715
2016-04-11,227.14,171.79000000000005,141.63642857142858
2016-04-12,56.67,171.74666666666667,141.57857142857145
2016-04-13,222.95,168.92000000000002,141.18142857142857
2016-04-14,218.89,181.41250000000002,140.65857142857143
2016-04-15,224.87,190.10399999999998,146.27266666666668
2016-04-16,,180.845,146.27266666666668
2016-04-17,,222.23666666666668,146.27266666666668
2016-04-18,24.68,156.14666666666668,144.06666666666666
2016-04-19,229.27,159.60666666666668,143.77333333333334
2016-04-20,222.81,158.92000000000004,156.98333333333332
2016-04-21,222.3,174.76500000000001,156.21266666666668
2016-04-22,55.4,150.892,144.38466666666667
2016-04-23,,182.44500000000002,144.38466666666667
2016-04-24,,166.83666666666667,144.38466666666667
2016-04-25,227.46,168.38666666666668,155.64266666666668
2016-04-26,225.43,169.43000000000004,166.86599999999999
2016-04-27,224.65,225.8466666666667,178.05
2016-04-28,25.42,175.74,175.95800000000003
2016-04-29,220.45,184.68200000000002,175.226
2016-04-30,,173.9875,175.226
2016-05-01,,156.84000000000003,175.226
2016-05-02,222.93,156.26666666666668,174.94533333333337
2016-05-03,223.52,222.30000000000004,186.06866666666667
2016-05-04,57.51,167.9866666666667,175.03933333333333
2016-05-05,24.95,132.22750000000002,162.10999999999999
2016-05-06,57.16,117.21400000000001,150.92933333333335
2016-05-07,,90.78500000000001,150.92933333333335
2016-05-08,,46.54000000000001,150.92933333333335
2016-05-09,233.51,105.20666666666666,164.85133333333334
2016-05-10,236.11,175.59333333333336,165.30733333333333
2016-05-11,230.6,233.40666666666667,165.82666666666668
2016-05-12,229.93,232.53750000000002,166.33533333333335
2016-05-13,227.75,231.58,177.82533333333333
2016-05-14,,231.09750000000003,177.82533333333333
2016-05-15,,229.4266666666667,177.82533333333333
2016-05-16,57.38,171.6866666666667,166.48666666666665
2016-05-17,224.28,169.80333333333337,166.41
2016-05-18,223.52,168.39333333333335,166.33466666666666
2016-05-19,221.32,181.625,179.39466666666667
2016-05-20,26.69,150.638,166.47733333333332
2016-05-21,,173.95250000000001,166.47733333333332
2016-05-22,,157.17666666666668,166.47733333333332
2016-05-23,222.17,156.72666666666666,166.42666666666665
2016-05-24,223.49,157.45000000000002,166.42466666666667
2016-05-25,226.0,223.88666666666668,177.65733333333336
2016-05-26,54.8,181.615,179.64733333333334
2016-05-27,55.01,156.294,179.504
2016-05-28,,139.82500000000002,179.504
2016-05-29,,111.93666666666668,179.504
2016-05-30,,54.905000000000015,175.64642857142857
2016-05-31,55.24,55.125000000000014,162.72714285714284
2016-06-01,55.52,55.38000000000002,150.22142857142856
2016-06-02,55.35,55.37000000000001,137.75142857142856
2016-06-03,56.16,55.56750000000001,125.495
2016-06-04,,55.56750000000001,125.495
2016-06-05,,55.67666666666668,125.495
2016-06-06,55.82,55.77666666666668,125.38357142857141
2016-06-07,55.7,55.893333333333345,113.34214285714286
2016-06-08,56.33,55.95000000000001,101.39999999999999
2016-06-09,56.88,56.18250000000001,89.65428571428572
2016-06-10,56.68,56.282000000000004,91.79642857142856
2016-06-11,,56.39750000000001,91.79642857142856
2016-06-12,,56.63,91.79642857142856
2016-06-13,56.92,56.826666666666675,79.99285714285715
2016-06-14,57.29,56.963333333333345,68.12142857142858
2016-06-15,56.52,56.910000000000004,56.01571428571429
2016-06-16,56.78,56.87750000000001,56.15714285714286
2016-06-17,56.89,56.88000000000001,56.291428571428575
2016-06-18,,56.870000000000005,56.291428571428575
2016-06-19,,56.73000000000001,56.291428571428575
2016-06-20,56.82,56.83000000000001,56.326666666666675
2016-06-21,57.03,56.91333333333335,56.446000000000005
2016-06-22,56.69,56.84666666666667,56.523999999999994
2016-06-23,56.42,56.74000000000001,56.595333333333336
2016-06-24,57.22,56.836,56.666000000000004
2016-06-25,,56.84,56.666000000000004
2016-06-26,,56.77666666666667,56.666000000000004
2016-06-27,58.59,57.41000000000002,56.85066666666667
2016-06-28,58.33,58.046666666666674,57.025999999999996
2016-06-29,58.58,58.50000000000001,57.17600000000001
2016-06-30,59.9,58.85000000000001,57.37733333333333
2016-07-01,59.71,59.022000000000006,57.57933333333334
2016-07-02,,59.13,57.57933333333334
2016-07-03,,59.396666666666675,57.57933333333334
2016-07-04,,59.80500000000001,57.626428571428576
2016-07-05,22.33,41.02000000000001,55.12928571428571
2016-07-06,60.24,41.28500000000001,55.394999999999996
2016-07-07,228.76,103.77666666666669,67.67928571428571
2016-07-08,231.33,135.66500000000002,80.13928571428572
2016-07-09,,135.66500000000002,80.13928571428572
2016-07-10,,173.44333333333336,80.13928571428572
2016-07-11,231.33,230.47333333333336,92.60428571428572
2016-07-12,232.07,231.57666666666668,105.10714285714286
2016-07-13,234.26,232.5533333333333,117.7907142857143
2016-07-14,229.54,231.8,130.15642857142856
2016-07-15,226.6,230.76,142.255
2016-07-16,,230.6175,142.255
2016-07-17,,230.13333333333333,142.255
2016-07-18,225.63,227.25666666666666,154.1864285714286
2016-07-19,226.59,226.27333333333334,166.20499999999998
2016-07-20,226.35,226.19000000000003,178.18857142857146
2016-07-21,25.22,175.9475,175.71142857142857
2016-07-22,226.99,186.156,187.66000000000003
2016-07-23,,176.2875,187.66000000000003
2016-07-24,,159.51999999999998,187.66000000000003
2016-07-25,226.4,159.53666666666666,190.24266666666665
2016-07-26,222.73,225.37333333333333,203.60266666666666
2016-07-27,25.24,158.12333333333333,201.26933333333332
2016-07-28,220.59,173.74,200.72466666666665
2016-07-29,233.88,185.768,200.89466666666667
2016-07-30,,175.61,200.89466666666667
2016-07-31,,159.90333333333334,200.89466666666667
